R01 D01 T-50 H0
R01 D02 T-40 H10
R01 D03 T-30 H20
R01 D04 T-20 H30
R01 D05 T-10 H40
R01 D06 T0 H50
R01 D07 T10 H60
R01 D08 T20 H70
R01 D09 T30 H80
R01 D010 T40 H90
R01 D011 T50 H100
R01 D012 T60 H90
R01 D013 T70 H80
R01 D014 T80 H70
R01 D015 T90 H60
R01 D016 T100 H50
R01 D017 T110 H40
R01 D018 T120 H30
R01 D019 T130 H20
R01 D020 T140 H10
R01 D021 T150 H0
R01 D022 T150 H0
R01 D023 T150 H0
R01 D024 T150 H0
R01 D025 T150 H0
R01 D026 T150 H0
R01 D027 T150 H0
R01 D028 T150 H0
R01 D029 T150 H0
R01 D030 T150 H0
R01 D031 T150 H0
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
R3 D1 T67 H67
